month,year,lat_range,egg_sight_dates,egg_sight_number,egg_sight_distinct_dates
1,2015,30+_TO_35,1,10,1
1,2016,25+_TO_30,1,1,1
1,2016,30+_TO_35,2,21,2
1,2017,20+_TO_25,1,5,1
1,2017,25+_TO_30,5,35,5
1,2017,30+_TO_35,1,30,1
1,2019,25+_TO_30,1,40,1
1,2020,25+_TO_30,3,9,3
1,2020,30+_TO_35,3,89,3
2,2016,25+_TO_30,2,24,2
2,2016,30+_TO_35,3,38,2
2,2017,20+_TO_25,1,9,1
2,2017,25+_TO_30,4,119,2
2,2017,30+_TO_35,1,5,1
2,2018,25+_TO_30,5,46,5
2,2019,20+_TO_25,1,3,1
2,2019,25+_TO_30,7,118,7
2,2019,30+_TO_35,4,10,3
2,2020,25+_TO_30,3,16,3
2,2020,30+_TO_35,3,16,3
3,2016,20+_TO_25,2,10,2
3,2016,25+_TO_30,5,44,4
3,2016,30+_TO_35,4,4,2
3,2017,20+_TO_25,1,4,1
3,2017,25+_TO_30,6,27,5
3,2017,30+_TO_35,10,382,6
3,2018,20+_TO_25,2,86,2
3,2018,25+_TO_30,6,60,6
3,2018,30+_TO_35,16,579,10
3,2019,25+_TO_30,17,568,11
3,2019,30+_TO_35,29,1687,16
3,2020,25+_TO_30,17,173,13
3,2020,30+_TO_35,33,687,19
3,2020,35+_TO_40,1,20,1
4,2016,20+_TO_25,5,46,1
4,2016,25+_TO_30,9,86,9
4,2016,30+_TO_35,11,161,9
4,2016,35+_TO_40,3,28,3
4,2017,25+_TO_30,17,524,14
4,2017,30+_TO_35,28,598,18
4,2017,35+_TO_40,68,1623,24
4,2017,4O+_TO_45,4,103,4
4,2018,20+_TO_25,1,55,1
4,2018,25+_TO_30,6,129,6
4,2018,30+_TO_35,61,559,20
4,2018,35+_TO_40,9,71,7
4,2019,25+_TO_30,8,130,8
4,2019,30+_TO_35,28,806,17
4,2019,35+_TO_40,17,613,13
4,2020,25+_TO_30,7,79,6
4,2020,30+_TO_35,24,424,16
4,2020,35+_TO_40,40,745,19
5,2014,30+_TO_35,1,1,1
5,2014,4O+_TO_45,2,2,1
5,2015,35+_TO_40,1,6,1
5,2015,4O+_TO_45,1,33,1
5,2016,25+_TO_30,7,53,6
5,2016,30+_TO_35,13,326,10
5,2016,35+_TO_40,8,21,7
5,2016,4O+_TO_45,10,47,6
5,2017,25+_TO_30,5,47,5
5,2017,30+_TO_35,10,74,8
5,2017,35+_TO_40,21,185,17
5,2017,45+_TO_50,16,198,7
5,2017,4O+_TO_45,28,164,14
5,2018,25+_TO_30,8,79,8
5,2018,30+_TO_35,10,64,9
5,2018,35+_TO_40,34,254,21
5,2018,45+_TO_50,18,120,8
5,2018,4O+_TO_45,69,862,21
5,2019,25+_TO_30,2,35,2
5,2019,30+_TO_35,21,789,13
5,2019,35+_TO_40,43,405,25
5,2019,45+_TO_50,11,178,4
5,2019,4O+_TO_45,69,1006,17
5,2020,25+_TO_30,1,1,1
5,2020,30+_TO_35,24,121,18
5,2020,35+_TO_40,24,128,19
5,2020,45+_TO_50,5,43,4
5,2020,4O+_TO_45,32,258,10
6,2012,30+_TO_35,1,1,1
6,2014,30+_TO_35,1,1,1
6,2014,45+_TO_50,1,20,1
6,2014,4O+_TO_45,11,23,9
6,2015,4O+_TO_45,2,13,2
6,2016,25+_TO_30,1,4,1
6,2016,30+_TO_35,23,431,18
6,2016,35+_TO_40,5,57,4
6,2016,45+_TO_50,16,137,12
6,2016,4O+_TO_45,27,163,19
6,2017,25+_TO_30,3,39,2
6,2017,30+_TO_35,5,125,5
6,2017,35+_TO_40,24,179,18
6,2017,45+_TO_50,37,572,20
6,2017,4O+_TO_45,96,635,27
6,2018,25+_TO_30,1,18,1
6,2018,30+_TO_35,2,24,2
6,2018,35+_TO_40,23,139,18
6,2018,45+_TO_50,19,88,14
6,2018,4O+_TO_45,127,1209,29
6,2019,25+_TO_30,1,12,1
6,2019,30+_TO_35,6,63,6
6,2019,35+_TO_40,31,132,19
6,2019,45+_TO_50,26,529,16
6,2019,4O+_TO_45,86,930,27
6,2020,25+_TO_30,1,14,1
6,2020,30+_TO_35,9,57,8
6,2020,35+_TO_40,17,99,12
6,2020,45+_TO_50,11,40,8
6,2020,4O+_TO_45,61,477,20
7,2012,35+_TO_40,2,2,2
7,2013,35+_TO_40,1,3,1
7,2013,4O+_TO_45,7,23,5
7,2014,25+_TO_30,1,30,1
7,2014,30+_TO_35,7,69,7
7,2014,35+_TO_40,26,54,16
7,2014,45+_TO_50,16,53,13
7,2014,4O+_TO_45,143,241,30
7,2015,25+_TO_30,2,21,2
7,2015,30+_TO_35,3,5,3
7,2015,35+_TO_40,29,302,18
7,2015,45+_TO_50,3,9,2
7,2015,4O+_TO_45,106,757,28
7,2016,25+_TO_30,1,14,1
7,2016,30+_TO_35,25,637,16
7,2016,35+_TO_40,44,258,23
7,2016,45+_TO_50,44,246,24
7,2016,4O+_TO_45,155,919,31
7,2017,25+_TO_30,3,38,3
7,2017,30+_TO_35,8,50,7
7,2017,35+_TO_40,64,668,24
7,2017,45+_TO_50,33,427,23
7,2017,4O+_TO_45,288,2773,31
7,2018,25+_TO_30,3,61,3
7,2018,30+_TO_35,4,82,3
7,2018,35+_TO_40,109,1394,29
7,2018,45+_TO_50,39,185,27
7,2018,4O+_TO_45,186,1529,31
7,2019,25+_TO_30,2,10,2
7,2019,30+_TO_35,8,90,6
7,2019,35+_TO_40,72,1534,27
7,2019,45+_TO_50,24,420,17
7,2019,4O+_TO_45,107,3075,30
7,2020,25+_TO_30,2,11,2
7,2020,30+_TO_35,16,175,13
7,2020,35+_TO_40,78,542,31
7,2020,45+_TO_50,7,79,6
7,2020,4O+_TO_45,137,1367,31
7,2020,5O+_OR_GREATER,1,3,1
8,2007,35+_TO_40,1,17,1
8,2012,25+_TO_30,6,35,4
8,2012,30+_TO_35,16,95,12
8,2012,35+_TO_40,37,81,20
8,2012,45+_TO_50,3,6,3
8,2012,4O+_TO_45,39,86,18
8,2013,25+_TO_30,7,16,7
8,2013,30+_TO_35,19,19,13
8,2013,35+_TO_40,52,204,22
8,2013,45+_TO_50,3,5,3
8,2013,4O+_TO_45,64,220,24
8,2014,25+_TO_30,2,26,2
8,2014,30+_TO_35,16,72,15
8,2014,35+_TO_40,98,516,31
8,2014,45+_TO_50,2,2,2
8,2014,4O+_TO_45,96,346,29
8,2015,25+_TO_30,9,240,6
8,2015,30+_TO_35,38,939,20
8,2015,35+_TO_40,135,2202,30
8,2015,45+_TO_50,7,44,7
8,2015,4O+_TO_45,191,1675,31
8,2016,25+_TO_30,13,187,12
8,2016,30+_TO_35,20,308,14
8,2016,35+_TO_40,160,2122,31
8,2016,45+_TO_50,24,121,15
8,2016,4O+_TO_45,264,3546,31
8,2017,20+_TO_25,1,95,1
8,2017,25+_TO_30,9,199,9
8,2017,30+_TO_35,21,234,18
8,2017,35+_TO_40,220,2593,31
8,2017,45+_TO_50,16,74,10
8,2017,4O+_TO_45,293,3724,31
8,2018,25+_TO_30,10,173,8
8,2018,30+_TO_35,43,770,20
8,2018,35+_TO_40,274,5129,31
8,2018,45+_TO_50,28,119,20
8,2018,4O+_TO_45,215,2191,31
8,2019,25+_TO_30,1,6,1
8,2019,30+_TO_35,60,1189,24
8,2019,35+_TO_40,191,2834,31
8,2019,45+_TO_50,13,141,9
8,2019,4O+_TO_45,152,1485,31
8,2020,25+_TO_30,5,70,5
8,2020,30+_TO_35,59,1189,24
8,2020,35+_TO_40,278,3208,31
8,2020,45+_TO_50,10,25,9
8,2020,4O+_TO_45,183,1938,30
9,2007,45+_TO_50,1,2,1
9,2012,25+_TO_30,13,18,11
9,2012,30+_TO_35,26,41,18
9,2012,35+_TO_40,10,10,10
9,2012,45+_TO_50,1,3,1
9,2012,4O+_TO_45,13,33,11
9,2013,25+_TO_30,6,68,5
9,2013,30+_TO_35,32,69,22
9,2013,35+_TO_40,19,28,11
9,2013,4O+_TO_45,10,13,8
9,2014,25+_TO_30,7,16,5
9,2014,30+_TO_35,28,209,18
9,2014,35+_TO_40,30,70,15
9,2014,4O+_TO_45,12,16,10
9,2015,25+_TO_30,11,177,7
9,2015,30+_TO_35,61,1291,25
9,2015,35+_TO_40,46,935,21
9,2015,4O+_TO_45,53,524,15
9,2016,25+_TO_30,10,132,8
9,2016,30+_TO_35,61,811,26
9,2016,35+_TO_40,94,905,25
9,2016,4O+_TO_45,59,663,18
9,2017,25+_TO_30,7,132,5
9,2017,30+_TO_35,40,961,21
9,2017,35+_TO_40,80,1001,25
9,2017,4O+_TO_45,23,148,11
9,2018,20+_TO_25,1,8,1
9,2018,25+_TO_30,7,166,7
9,2018,30+_TO_35,58,1053,23
9,2018,35+_TO_40,104,970,28
9,2018,45+_TO_50,3,10,3
9,2018,4O+_TO_45,42,580,18
9,2019,25+_TO_30,4,68,4
9,2019,30+_TO_35,50,995,23
9,2019,35+_TO_40,102,1146,27
9,2019,4O+_TO_45,26,174,15
9,2020,25+_TO_30,6,27,4
9,2020,30+_TO_35,54,753,23
9,2020,35+_TO_40,69,801,24
9,2020,4O+_TO_45,26,269,10
10,2012,25+_TO_30,9,164,8
10,2012,30+_TO_35,9,9,6
10,2012,35+_TO_40,1,1,1
10,2013,25+_TO_30,5,5,5
10,2013,30+_TO_35,5,5,4
10,2013,4O+_TO_45,3,17,3
10,2014,20+_TO_25,1,1,1
10,2014,25+_TO_30,2,2,2
10,2014,30+_TO_35,12,15,12
10,2014,35+_TO_40,1,1,1
10,2014,45+_TO_50,1,2,1
10,2014,4O+_TO_45,1,1,1
10,2015,20+_TO_25,1,1,1
10,2015,25+_TO_30,11,260,11
10,2015,30+_TO_35,22,235,16
10,2015,35+_TO_40,8,48,7
10,2016,25+_TO_30,14,162,9
10,2016,30+_TO_35,25,238,18
10,2016,35+_TO_40,11,163,9
10,2016,4O+_TO_45,1,1,1
10,2017,20+_TO_25,1,40,1
10,2017,25+_TO_30,14,332,13
10,2017,30+_TO_35,18,257,13
10,2017,35+_TO_40,18,138,14
10,2017,4O+_TO_45,1,1,1
10,2018,25+_TO_30,12,127,11
10,2018,30+_TO_35,23,590,14
10,2018,35+_TO_40,12,195,10
10,2018,4O+_TO_45,2,41,2
10,2019,25+_TO_30,7,115,7
10,2019,30+_TO_35,27,465,17
10,2019,35+_TO_40,14,138,8
10,2019,4O+_TO_45,1,5,1
10,2020,25+_TO_30,4,31,4
10,2020,30+_TO_35,30,351,21
10,2020,35+_TO_40,8,59,6
10,2020,4O+_TO_45,1,1,1
11,2012,25+_TO_30,2,2,2
11,2012,30+_TO_35,3,3,3
11,2013,25+_TO_30,3,4,3
11,2013,30+_TO_35,2,2,2
11,2014,25+_TO_30,3,3,3
11,2014,30+_TO_35,1,3,1
11,2014,35+_TO_40,1,1,1
11,2015,25+_TO_30,10,132,8
11,2015,30+_TO_35,10,72,8
11,2015,35+_TO_40,1,58,1
11,2016,20+_TO_25,1,9,1
11,2016,25+_TO_30,5,123,5
11,2016,30+_TO_35,9,196,7
11,2016,35+_TO_40,2,46,2
11,2017,20+_TO_25,1,14,1
11,2017,25+_TO_30,3,24,3
11,2017,30+_TO_35,10,67,8
11,2018,25+_TO_30,2,8,2
11,2018,30+_TO_35,7,124,5
11,2019,25+_TO_30,4,24,4
11,2019,30+_TO_35,2,45,1
11,2019,35+_TO_40,2,7,2
11,2020,25+_TO_30,3,15,3
11,2020,30+_TO_35,3,25,3
12,2012,30+_TO_35,1,100,1
12,2013,25+_TO_30,1,1,1
12,2013,30+_TO_35,3,14,3
12,2013,4O+_TO_45,1,1,1
12,2014,25+_TO_30,2,2,2
12,2014,30+_TO_35,2,2,2
12,2015,25+_TO_30,6,89,5
12,2015,30+_TO_35,2,47,2
12,2016,25+_TO_30,3,65,3
12,2016,30+_TO_35,7,46,7
12,2017,25+_TO_30,4,20,4
12,2017,35+_TO_40,1,1,1
12,2018,25+_TO_30,3,25,3
12,2019,25+_TO_30,4,20,4
12,2019,30+_TO_35,1,1,1
12,2020,25+_TO_30,34,183,13
12,2020,30+_TO_35,5,17,5
