month,year,lat_range,milkweed_first_sight_dates,milkweed_first_sight_number,milkweed_first_sight_distinct_dates
1,2002,25+_TO_30,2,2,1
1,2004,25+_TO_30,1,1,1
1,2006,30+_TO_35,1,1,1
1,2007,25+_TO_30,1,1,1
1,2007,30+_TO_35,1,1,1
1,2008,25+_TO_30,2,2,2
1,2010,25+_TO_30,1,1,1
1,2011,25+_TO_30,1,1,1
1,2012,25+_TO_30,5,5,4
1,2012,30+_TO_35,2,2,2
1,2013,25+_TO_30,9,9,7
1,2013,30+_TO_35,4,4,4
1,2014,25+_TO_30,4,4,4
1,2014,30+_TO_35,1,1,1
1,2014,35+_TO_40,1,1,1
1,2015,25+_TO_30,3,3,2
1,2015,30+_TO_35,1,1,1
1,2016,30+_TO_35,1,1,1
1,2017,25+_TO_30,2,2,2
1,2019,25+_TO_30,2,2,2
1,2020,30+_TO_35,1,1,1
2,2001,25+_TO_30,9,9,7
2,2001,30+_TO_35,4,4,4
2,2002,25+_TO_30,1,1,1
2,2002,30+_TO_35,1,1,1
2,2003,25+_TO_30,3,3,3
2,2003,30+_TO_35,2,2,2
2,2004,25+_TO_30,4,4,4
2,2004,30+_TO_35,1,1,1
2,2005,25+_TO_30,5,5,4
2,2005,30+_TO_35,3,3,3
2,2006,30+_TO_35,1,1,1
2,2007,25+_TO_30,3,3,3
2,2008,25+_TO_30,4,4,4
2,2008,30+_TO_35,4,4,4
2,2009,25+_TO_30,10,10,8
2,2009,30+_TO_35,10,10,9
2,2010,25+_TO_30,8,8,5
2,2010,30+_TO_35,2,2,2
2,2011,20+_TO_25,1,1,1
2,2011,25+_TO_30,21,21,12
2,2011,30+_TO_35,7,7,6
2,2012,25+_TO_30,16,16,7
2,2012,30+_TO_35,5,5,4
2,2012,4O+_TO_45,1,1,1
2,2013,25+_TO_30,33,33,19
2,2013,30+_TO_35,29,29,20
2,2014,25+_TO_30,9,9,8
2,2014,30+_TO_35,5,5,4
2,2015,25+_TO_30,5,5,4
2,2015,30+_TO_35,9,9,8
2,2015,35+_TO_40,1,1,1
2,2016,25+_TO_30,6,6,4
2,2016,30+_TO_35,8,8,6
2,2016,35+_TO_40,1,1,1
2,2017,25+_TO_30,9,9,8
2,2017,30+_TO_35,18,25,12
2,2018,25+_TO_30,7,7,6
2,2018,30+_TO_35,14,14,11
2,2019,25+_TO_30,5,5,5
2,2019,30+_TO_35,4,4,3
2,2019,35+_TO_40,2,2,2
2,2020,30+_TO_35,4,4,4
2,2020,35+_TO_40,3,3,3
3,2001,25+_TO_30,4,4,4
3,2001,30+_TO_35,18,18,15
3,2001,35+_TO_40,4,4,3
3,2002,25+_TO_30,17,17,11
3,2002,30+_TO_35,19,19,12
3,2003,25+_TO_30,13,13,10
3,2003,30+_TO_35,15,15,14
3,2003,35+_TO_40,3,3,3
3,2004,25+_TO_30,11,11,10
3,2004,30+_TO_35,14,14,9
3,2005,25+_TO_30,14,14,10
3,2005,30+_TO_35,12,12,9
3,2005,35+_TO_40,2,2,2
3,2006,20+_TO_25,1,1,1
3,2006,25+_TO_30,13,13,10
3,2006,30+_TO_35,17,17,12
3,2006,35+_TO_40,4,4,4
3,2007,20+_TO_25,1,1,1
3,2007,25+_TO_30,10,10,8
3,2007,30+_TO_35,14,14,11
3,2007,35+_TO_40,10,10,5
3,2008,25+_TO_30,14,14,11
3,2008,30+_TO_35,18,18,11
3,2008,35+_TO_40,4,4,3
3,2009,25+_TO_30,13,13,10
3,2009,30+_TO_35,22,22,17
3,2009,35+_TO_40,7,7,5
3,2009,4O+_TO_45,2,2,2
3,2010,25+_TO_30,14,14,13
3,2010,30+_TO_35,17,17,12
3,2010,35+_TO_40,4,4,4
3,2010,4O+_TO_45,3,3,3
3,2011,25+_TO_30,28,28,15
3,2011,30+_TO_35,54,54,28
3,2011,35+_TO_40,8,8,6
3,2011,4O+_TO_45,1,1,1
3,2012,25+_TO_30,6,6,5
3,2012,30+_TO_35,38,38,22
3,2012,35+_TO_40,40,40,10
3,2012,4O+_TO_45,36,36,11
3,2013,25+_TO_30,15,15,12
3,2013,30+_TO_35,36,36,20
3,2013,35+_TO_40,3,3,3
3,2014,25+_TO_30,17,17,13
3,2014,30+_TO_35,30,30,20
3,2014,35+_TO_40,6,6,5
3,2014,4O+_TO_45,1,1,1
3,2015,25+_TO_30,13,13,13
3,2015,30+_TO_35,50,50,20
3,2015,35+_TO_40,12,12,8
3,2015,45+_TO_50,1,1,1
3,2015,4O+_TO_45,3,3,3
3,2016,20+_TO_25,1,1,1
3,2016,25+_TO_30,15,15,10
3,2016,30+_TO_35,43,43,22
3,2016,35+_TO_40,41,41,19
3,2016,4O+_TO_45,3,3,3
3,2017,25+_TO_30,10,10,7
3,2017,30+_TO_35,51,51,24
3,2017,35+_TO_40,51,51,18
3,2017,4O+_TO_45,3,3,3
3,2018,20+_TO_25,2,2,2
3,2018,25+_TO_30,10,10,8
3,2018,30+_TO_35,55,55,25
3,2018,35+_TO_40,30,30,13
3,2018,4O+_TO_45,1,1,1
3,2019,25+_TO_30,6,6,5
3,2019,30+_TO_35,33,33,19
3,2019,35+_TO_40,20,20,10
3,2019,4O+_TO_45,1,1,1
3,2020,25+_TO_30,7,7,6
3,2020,30+_TO_35,57,57,25
3,2020,35+_TO_40,49,49,16
3,2020,4O+_TO_45,6,6,6
4,2001,25+_TO_30,1,1,1
4,2001,30+_TO_35,9,9,7
4,2001,35+_TO_40,25,25,17
4,2001,4O+_TO_45,12,12,7
4,2001,5O+_OR_GREATER,1,1,1
4,2002,30+_TO_35,21,21,13
4,2002,35+_TO_40,46,46,18
4,2002,4O+_TO_45,29,29,15
4,2003,30+_TO_35,10,10,6
4,2003,35+_TO_40,31,31,19
4,2003,45+_TO_50,1,1,1
4,2003,4O+_TO_45,29,29,11
4,2004,25+_TO_30,1,1,1
4,2004,30+_TO_35,8,8,6
4,2004,35+_TO_40,37,37,20
4,2004,4O+_TO_45,19,19,10
4,2005,30+_TO_35,13,13,8
4,2005,35+_TO_40,34,34,15
4,2005,4O+_TO_45,24,24,15
4,2006,30+_TO_35,10,10,7
4,2006,35+_TO_40,47,47,22
4,2006,4O+_TO_45,41,41,18
4,2007,30+_TO_35,8,8,6
4,2007,35+_TO_40,20,20,16
4,2007,45+_TO_50,1,1,1
4,2007,4O+_TO_45,22,22,12
4,2008,30+_TO_35,19,19,13
4,2008,35+_TO_40,63,63,21
4,2008,4O+_TO_45,28,28,12
4,2009,25+_TO_30,1,1,1
4,2009,30+_TO_35,16,16,12
4,2009,35+_TO_40,47,47,24
4,2009,4O+_TO_45,52,52,15
4,2010,25+_TO_30,3,3,3
4,2010,30+_TO_35,25,25,14
4,2010,35+_TO_40,65,65,23
4,2010,45+_TO_50,10,10,8
4,2010,4O+_TO_45,101,101,25
4,2011,25+_TO_30,2,2,2
4,2011,30+_TO_35,18,18,12
4,2011,35+_TO_40,93,93,27
4,2011,4O+_TO_45,38,38,16
4,2012,30+_TO_35,4,4,2
4,2012,35+_TO_40,57,57,20
4,2012,45+_TO_50,10,10,8
4,2012,4O+_TO_45,96,96,29
4,2013,25+_TO_30,2,2,2
4,2013,30+_TO_35,35,35,21
4,2013,35+_TO_40,89,89,25
4,2013,45+_TO_50,1,1,1
4,2013,4O+_TO_45,48,48,16
4,2014,25+_TO_30,1,1,1
4,2014,30+_TO_35,35,35,13
4,2014,35+_TO_40,90,90,29
4,2014,4O+_TO_45,42,42,18
4,2015,30+_TO_35,20,20,13
4,2015,35+_TO_40,158,158,29
4,2015,45+_TO_50,6,6,3
4,2015,4O+_TO_45,86,86,26
4,2016,25+_TO_30,2,2,2
4,2016,30+_TO_35,15,15,11
4,2016,35+_TO_40,143,144,30
4,2016,45+_TO_50,14,14,11
4,2016,4O+_TO_45,159,159,24
4,2017,25+_TO_30,1,1,1
4,2017,30+_TO_35,10,10,8
4,2017,35+_TO_40,141,142,26
4,2017,45+_TO_50,5,5,5
4,2017,4O+_TO_45,176,176,24
4,2018,25+_TO_30,2,2,2
4,2018,30+_TO_35,23,23,12
4,2018,35+_TO_40,148,148,30
4,2018,45+_TO_50,2,2,2
4,2018,4O+_TO_45,40,40,14
4,2019,30+_TO_35,36,36,17
4,2019,35+_TO_40,249,249,30
4,2019,45+_TO_50,5,5,5
4,2019,4O+_TO_45,143,143,24
4,2020,25+_TO_30,1,1,1
4,2020,30+_TO_35,18,18,11
4,2020,35+_TO_40,163,163,30
4,2020,45+_TO_50,4,4,4
4,2020,4O+_TO_45,132,134,26
5,2001,25+_TO_30,1,1,1
5,2001,30+_TO_35,2,2,2
5,2001,35+_TO_40,5,5,5
5,2001,45+_TO_50,15,15,9
5,2001,4O+_TO_45,46,46,21
5,2002,35+_TO_40,2,2,2
5,2002,45+_TO_50,9,9,7
5,2002,4O+_TO_45,60,60,25
5,2003,35+_TO_40,4,4,4
5,2003,45+_TO_50,14,14,12
5,2003,4O+_TO_45,51,51,20
5,2004,35+_TO_40,14,14,10
5,2004,45+_TO_50,10,10,7
5,2004,4O+_TO_45,47,47,25
5,2005,30+_TO_35,1,1,1
5,2005,35+_TO_40,17,17,12
5,2005,45+_TO_50,24,24,14
5,2005,4O+_TO_45,110,110,31
5,2006,30+_TO_35,2,2,2
5,2006,35+_TO_40,7,7,6
5,2006,45+_TO_50,21,21,14
5,2006,4O+_TO_45,67,67,24
5,2007,35+_TO_40,7,7,6
5,2007,45+_TO_50,14,14,11
5,2007,4O+_TO_45,73,73,24
5,2008,35+_TO_40,13,13,9
5,2008,45+_TO_50,32,32,16
5,2008,4O+_TO_45,99,99,29
5,2009,35+_TO_40,10,10,7
5,2009,45+_TO_50,26,26,16
5,2009,4O+_TO_45,99,99,26
5,2010,35+_TO_40,6,6,5
5,2010,45+_TO_50,23,23,18
5,2010,4O+_TO_45,47,47,17
5,2011,35+_TO_40,9,9,6
5,2011,45+_TO_50,31,31,21
5,2011,4O+_TO_45,104,104,26
5,2012,35+_TO_40,1,1,1
5,2012,45+_TO_50,24,24,15
5,2012,4O+_TO_45,28,28,17
5,2013,25+_TO_30,1,1,1
5,2013,30+_TO_35,5,5,5
5,2013,35+_TO_40,28,28,14
5,2013,45+_TO_50,27,27,19
5,2013,4O+_TO_45,161,161,31
5,2013,5O+_OR_GREATER,4,4,4
5,2014,30+_TO_35,1,1,1
5,2014,35+_TO_40,27,27,10
5,2014,45+_TO_50,28,28,16
5,2014,4O+_TO_45,153,153,29
5,2014,5O+_OR_GREATER,1,1,1
5,2015,35+_TO_40,27,27,10
5,2015,45+_TO_50,36,36,18
5,2015,4O+_TO_45,170,170,24
5,2016,30+_TO_35,1,1,1
5,2016,35+_TO_40,17,17,13
5,2016,45+_TO_50,42,42,20
5,2016,4O+_TO_45,119,119,28
5,2016,5O+_OR_GREATER,1,1,1
5,2017,30+_TO_35,2,2,2
5,2017,35+_TO_40,8,8,6
5,2017,45+_TO_50,29,29,18
5,2017,4O+_TO_45,96,96,26
5,2017,5O+_OR_GREATER,1,1,1
5,2018,30+_TO_35,2,2,2
5,2018,35+_TO_40,41,41,13
5,2018,45+_TO_50,39,39,20
5,2018,4O+_TO_45,262,262,28
5,2018,5O+_OR_GREATER,2,2,2
5,2019,35+_TO_40,16,16,8
5,2019,45+_TO_50,44,44,22
5,2019,4O+_TO_45,236,242,31
5,2019,5O+_OR_GREATER,2,2,2
5,2020,30+_TO_35,4,4,2
5,2020,35+_TO_40,30,30,18
5,2020,45+_TO_50,43,43,22
5,2020,4O+_TO_45,334,334,30
5,2020,5O+_OR_GREATER,2,2,1
6,2002,45+_TO_50,2,2,2
6,2002,4O+_TO_45,5,5,5
6,2003,45+_TO_50,1,1,1
6,2003,4O+_TO_45,2,2,2
6,2004,45+_TO_50,4,4,3
6,2004,4O+_TO_45,5,5,2
6,2005,45+_TO_50,9,9,7
6,2005,4O+_TO_45,10,10,6
6,2006,4O+_TO_45,5,5,5
6,2007,45+_TO_50,2,2,2
6,2008,35+_TO_40,1,1,1
6,2008,45+_TO_50,1,1,1
6,2008,4O+_TO_45,2,2,2
6,2009,45+_TO_50,3,3,3
6,2009,4O+_TO_45,1,1,1
6,2011,45+_TO_50,3,3,3
6,2011,4O+_TO_45,5,5,3
6,2013,45+_TO_50,10,10,6
6,2013,4O+_TO_45,1,1,1
6,2013,5O+_OR_GREATER,1,1,1
6,2014,30+_TO_35,1,1,1
6,2014,45+_TO_50,5,5,4
6,2014,4O+_TO_45,3,3,3
6,2015,35+_TO_40,1,1,1
6,2015,4O+_TO_45,3,3,3
6,2016,30+_TO_35,1,1,1
6,2016,35+_TO_40,1,1,1
6,2016,45+_TO_50,4,4,4
6,2016,4O+_TO_45,2,2,2
6,2017,35+_TO_40,1,1,1
6,2017,45+_TO_50,6,6,5
6,2017,4O+_TO_45,7,7,5
6,2017,5O+_OR_GREATER,1,1,1
6,2018,30+_TO_35,1,1,1
6,2018,45+_TO_50,2,9,2
6,2018,4O+_TO_45,3,3,3
6,2019,45+_TO_50,8,8,7
6,2019,4O+_TO_45,11,11,9
6,2020,30+_TO_35,1,1,1
6,2020,35+_TO_40,4,4,4
6,2020,45+_TO_50,6,6,5
6,2020,4O+_TO_45,23,23,10
6,2020,5O+_OR_GREATER,1,1,1
7,2009,4O+_TO_45,1,1,1
7,2016,4O+_TO_45,1,1,1
7,2017,45+_TO_50,1,1,1
7,2017,4O+_TO_45,1,1,1
7,2018,35+_TO_40,1,1,1
7,2018,4O+_TO_45,1,1,1
7,2019,4O+_TO_45,2,2,2
7,2020,30+_TO_35,1,1,1
7,2020,35+_TO_40,1,1,1
9,2007,25+_TO_30,1,1,1
12,2000,25+_TO_30,1,1,1
12,2006,30+_TO_35,1,1,1
12,2007,25+_TO_30,1,1,1
12,2019,25+_TO_30,1,1,1
