month,year,species,lat_range,site,number,Season_Start
3,1994,Monarch Tag Recovery,20+_TO_25,1,1,1993
3,1994,Monarch Tag Recovery,30+_TO_35,1,1,1993
3,1995,Monarch Tag Recovery,20_OR_LESS,1,8,1994
3,1996,Monarch Tag Recovery,20+_TO_25,2,7,1995
3,1996,Monarch Tag Recovery,30+_TO_35,1,1,1995
3,1997,Monarch Tag Recovery,20+_TO_25,2,5,1996
3,1997,Monarch Tag Recovery,20_OR_LESS,2,2,1996
3,1997,Monarch Tag Recovery,30+_TO_35,1,1,1996
3,1998,Monarch Tag Recovery,20+_TO_25,1,1,1997
3,1998,Monarch Tag Recovery,20_OR_LESS,1,1,1997
3,1998,Monarch Tag Recovery,30+_TO_35,1,5,1997
3,1999,Monarch Tag Recovery,20+_TO_25,2,1,1998
3,1999,Monarch Tag Recovery,20_OR_LESS,1,1,1998
3,1999,Monarch Tag Recovery,30+_TO_35,1,47,1998
3,2000,Monarch Tag Recovery,20+_TO_25,3,11,1999
3,2000,Monarch Tag Recovery,20_OR_LESS,3,2,1999
3,2000,Monarch Tag Recovery,30+_TO_35,1,43,1999
3,2001,Monarch Tag Recovery,20+_TO_25,2,372,2000
3,2001,Monarch Tag Recovery,20_OR_LESS,1,4,2000
3,2001,Monarch Tag Recovery,30+_TO_35,1,1,2000
3,2002,Monarch Tag Recovery,20+_TO_25,1,9,2001
3,2002,Monarch Tag Recovery,20_OR_LESS,2,2,2001
3,2002,Monarch Tag Recovery,30+_TO_35,1,32,2001
3,2003,Monarch Tag Recovery,20+_TO_25,1,1,2002
3,2003,Monarch Tag Recovery,20_OR_LESS,3,641,2002
3,2003,Monarch Tag Recovery,30+_TO_35,1,10,2002
3,2004,Monarch Tag Recovery,20+_TO_25,1,2,2003
3,2004,Monarch Tag Recovery,20_OR_LESS,2,11,2003
3,2004,Monarch Tag Recovery,30+_TO_35,1,209,2003
3,2005,Monarch Tag Recovery,20+_TO_25,3,365,2004
3,2005,Monarch Tag Recovery,20_OR_LESS,3,1,2004
3,2005,Monarch Tag Recovery,30+_TO_35,1,93,2004
3,2006,Monarch Tag Recovery,20+_TO_25,2,1477,2005
3,2006,Monarch Tag Recovery,20_OR_LESS,2,157,2005
3,2006,Monarch Tag Recovery,30+_TO_35,1,1,2005
3,2007,Monarch Tag Recovery,20+_TO_25,3,147,2006
3,2007,Monarch Tag Recovery,20_OR_LESS,6,2,2006
3,2007,Monarch Tag Recovery,30+_TO_35,1,817,2006
3,2008,Monarch Tag Recovery,20+_TO_25,4,227,2007
3,2008,Monarch Tag Recovery,20_OR_LESS,1,183,2007
3,2008,Monarch Tag Recovery,30+_TO_35,1,1,2007
3,2009,Monarch Tag Recovery,20+_TO_25,2,2163,2008
3,2009,Monarch Tag Recovery,20_OR_LESS,2,71,2008
3,2009,Monarch Tag Recovery,30+_TO_35,1,3,2008
3,2010,Monarch Tag Recovery,20+_TO_25,2,2,2009
3,2010,Monarch Tag Recovery,20_OR_LESS,2,29,2009
3,2010,Monarch Tag Recovery,30+_TO_35,1,3,2009
3,2011,Monarch Tag Recovery,20+_TO_25,3,1,2010
3,2011,Monarch Tag Recovery,20_OR_LESS,3,1718,2010
3,2011,Monarch Tag Recovery,30+_TO_35,1,40,2010
3,2012,Monarch Tag Recovery,20+_TO_25,2,5,2011
3,2012,Monarch Tag Recovery,20_OR_LESS,1,77,2011
3,2012,Monarch Tag Recovery,25+_TO_30,1,6,2011
3,2012,Monarch Tag Recovery,30+_TO_35,1,776,2011
3,2013,Monarch Tag Recovery,20+_TO_25,2,83,2012
3,2013,Monarch Tag Recovery,20_OR_LESS,2,9,2012
3,2013,Monarch Tag Recovery,30+_TO_35,1,18,2012
3,2014,Monarch Tag Recovery,20+_TO_25,1,3,2013
3,2014,Monarch Tag Recovery,20_OR_LESS,1,6,2013
3,2014,Monarch Tag Recovery,30+_TO_35,1,77,2013
3,2015,Monarch Tag Recovery,20+_TO_25,2,3,2014
3,2015,Monarch Tag Recovery,20_OR_LESS,1,16,2014
3,2015,Monarch Tag Recovery,30+_TO_35,1,3,2014
3,2016,Monarch Tag Recovery,20+_TO_25,1,450,2015
3,2016,Monarch Tag Recovery,20_OR_LESS,4,15,2015
3,2016,Monarch Tag Recovery,30+_TO_35,1,1,2015
3,2017,Monarch Tag Recovery,20+_TO_25,2,7,2016
3,2017,Monarch Tag Recovery,20_OR_LESS,2,4,2016
3,2017,Monarch Tag Recovery,30+_TO_35,1,125,2016
3,2018,Monarch Tag Recovery,20+_TO_25,1,562,2017
3,2018,Monarch Tag Recovery,20_OR_LESS,2,111,2017
3,2018,Monarch Tag Recovery,30+_TO_35,1,4,2017
3,2019,Monarch Tag Recovery,20+_TO_25,2,236,2018
3,2019,Monarch Tag Recovery,20_OR_LESS,1,1,2018
3,2019,Monarch Tag Recovery,30+_TO_35,1,647,2018
3,2020,Monarch Tag Recovery,20+_TO_25,2,10,2019
3,2020,Monarch Tag Recovery,20_OR_LESS,2,4,2019
3,2020,Monarch Tag Recovery,30+_TO_35,1,5,2019
3,2021,Monarch Tag Recovery,20+_TO_25,2,3,2020
3,2021,Monarch Tag Recovery,20_OR_LESS,2,13,2020
3,2021,Monarch Tag Recovery,30+_TO_35,1,43,2020
