year,Drought_Events,Flood_Events,Freeze_Events,Severe_Storm_Events ,Tropical_Cyclone_Events,Wildfire_Events,Winter_Storm_Events
2021,1,2,0,11,4,1,1
2020,1,0,0,13,7,1,0
2019,0,3,0,8,2,1,0
2018,1,0,0,8,2,1,2
2017,1,2,1,8,3,1,0
2016,1,4,0,8,1,1,0
2015,1,2,0,6,0,1,1
2014,1,1,0,6,0,0,1
2013,1,2,0,7,0,0,0
2012,1,0,0,7,2,1,0
2011,1,2,0,9,2,1,1
2010,0,2,0,4,0,0,1
2009,1,0,0,6,0,1,0
2008,1,1,0,6,3,1,0
2007,1,0,2,1,0,1,0
2006,1,1,0,4,0,1,0
2005,1,0,0,1,4,0,0
2004,0,0,0,1,4,0,0
2003,1,0,0,4,1,1,0
2002,1,0,0,2,2,1,0
2001,0,0,0,1,1,0,0
2000,1,1,0,1,0,1,1
1999,1,0,0,1,1,0,2
1998,1,1,1,3,3,0,1
1997,0,2,0,1,0,0,0
1996,1,1,0,0,1,0,1
1995,1,1,0,1,3,0,0
1994,0,1,0,1,1,1,2
1993,1,1,0,1,0,1,1
1992,0,0,0,4,2,0,1
